ID,Name,County,Year,value
1,Jones Engineering,Galway,2010,779
2,Mike's Bakery,Galway,2010,825
3,Falafel Inc,Galway,2010,342
4,Galway Windows,Galway,2010,563
5,Tuam Tech Ltd,Galway,2010,328
6,Joe Farm Supplies,Galway,2010,184
7,Smith Catering,Galway,2010,800
8,Lavelle Tool Hire,Galway,2010,453
9,Hyde Accontants,Galway,2010,496
10,Nolan Metals,Galway,2010,843
11,Thomas Meats,Galway,2010,48
12,Duffy Wiring,Galway,2010,154
13,Ryan Publishing,Galway,2010,999
14,Connor Software,Galway,2010,355
15,O'Malley Bookkeeping,Galway,2010,126
16,Moycullen Fire Safety,Galway,2010,442
17,Ballinasloe Sports Centre,Galway,2010,860
18,Spiddal Crane Hire,Galway,2010,509
19,Loughrea Fuels,Galway,2010,6
20,Lakeside Hotel,Galway,2010,544
21,Belmullet Fisheries,Mayo,2010,30
22,Ballycastle Fertilisers,Mayo,2010,782
23,Shane's Wallpaper,Mayo,2010,799
24,Nephin Tours Ltd,Mayo,2010,905
25,Achill Meat Processing,Mayo,2010,682
26,Castlebar Hotel,Mayo,2010,100
27,Foxford Dairy,Mayo,2010,102
28,Thompson Footwear,Mayo,2010,215
29,Sweeney Undertakers,Mayo,2010,373
30,Newport Wines,Mayo,2010,750
31,Leitrim Whiskey Company,Leitrim,2010,232
32,Mohill Auto Sales,Leitrim,2010,905
33,McDonnell Air Conditioning,Leitrim,2010,31
34,Dunleavy Civil Engineering,Leitrim,2010,84
35,N16 Service Station,Leitrim,2010,258
36,Ballinamore Glazing,Leitrim,2010,353
37,Casey Stationery,Leitrim,2010,0
38,Fitzpatrick Counselling,Leitrim,2010,795
39,Frenchpark Properties,Roscommon,2010,27
40,Strokestown Taxi Company,Roscommon,2010,45
41,Roscommon Timber,Roscommon,2010,27
42,Foley Seafood,Roscommon,2010,34
43,Blake Electronics,Roscommon,2010,30
44,Murphy Freight,Roscommon,2010,50
45,Castlerea Couriers,Roscommon,2010,43
46,Donovan Event Management,Roscommon,2010,26
47,Regan Bar Supplies,Roscommon,2010,57
48,Kenny Programming,Roscommon,2010,1084
49,Griffin Insurance,Roscommon,2010,64
50,Boyle Paints,Roscommon,2010,1408
51,Whelan Surf School,Sligo,2010,872
52,Buckley Consultants,Sligo,2010,288
53,Burton Design,Sligo,2010,507
54,Ballymote Landscaping,Sligo,2010,514
55,Flynn Orthopedics,Sligo,2010,69
56,Easky Childcare,Sligo,2010,532
57,Maguire Poultry,Sligo,2010,394
58,Collins General Store,Sligo,2010,826
