ID,Name,County,2010,2011,2012,2013,2014
1,Jones Engineering,Galway,779,753,765,764,729
2,Mike's Bakery,Galway,825,826,841,860,811
3,Falafel Inc,Galway,342,335,323,284,246
4,Galway Windows,Galway,563,570,545,517,492
5,Tuam Tech Ltd,Galway,328,372,386,350,349
6,Joe Farm Supplies,Galway,184,157,109,102,149
7,Smith Catering,Galway,800,765,811,834,820
8,Lavelle Tool Hire,Galway,453,503,546,530,566
9,Hyde Accontants,Galway,496,528,509,536,498
10,Nolan Metals,Galway,843,871,846,874,904
11,Thomas Meats,Galway,48,72,105,119,76
12,Duffy Wiring,Galway,154,179,197,238,201
13,Ryan Publishing,Galway,999,1032,1059,1033,1081
14,Connor Software,Galway,355,322,351,378,377
15,O'Malley Bookkeeping,Galway,126,144,114,67,41
16,Moycullen Fire Safety,Galway,442,434,396,364,396
17,Ballinasloe Sports Centre,Galway,860,842,834,806,817
18,Spiddal Crane Hire,Galway,509,555,545,555,585
19,Loughrea Fuels,Galway,6,13,9,10,9
20,Lakeside Hotel,Galway,544,592,579,627,642
21,Belmullet Fisheries,Mayo,30,66,37,12,41
22,Ballycastle Fertilisers,Mayo,782,822,785,802,783
23,Shane's Wallpaper,Mayo,799,829,801,834,813
24,Nephin Tours Ltd,Mayo,905,955,932,883,931
25,Achill Meat Processing,Mayo,682,635,589,607,629
26,Castlebar Hotel,Mayo,100,51,29,63,39
27,Foxford Dairy,Mayo,102,91,89,46,58
28,Thompson Footwear,Mayo,215,182,157,135,161
29,Sweeney Undertakers,Mayo,373,392,391,348,370
30,Newport Wines,Mayo,750,713,737,714,757
31,Leitrim Whiskey Company,Leitrim,232,183,152,183,179
32,Mohill Auto Sales,Leitrim,905,928,924,904,879
33,McDonnell Air Conditioning,Leitrim,31,38,61,49,21
34,Dunleavy Civil Engineering,Leitrim,84,93,69,69,102
35,N16 Service Station,Leitrim,258,268,259,306,337
36,Ballinamore Glazing,Leitrim,353,351,356,382,404
37,Casey Stationery,Leitrim,0,36,50,100,141
38,Fitzpatrick Counselling,Leitrim,795,795,806,768,753
39,Frenchpark Properties,Roscommon,304,319,313,281,288
40,Strokestown Taxi Company,Roscommon,339,375,332,350,364
41,Roscommon Timber,Roscommon,277,311,308,317,285
42,Foley Seafood,Roscommon,531,528,489,469,423
43,Blake Electronics,Roscommon,957,1006,1002,955,939
44,Murphy Freight,Roscommon,716,686,639,666,633
45,Castlerea Couriers,Roscommon,836,860,900,878,861
46,Donovan Event Management,Roscommon,209,212,207,172,184
47,Regan Bar Supplies,Roscommon,101,51,71,114,81
48,Kenny Programming,Roscommon,983,935,936,935,922
49,Griffin Insurance,Roscommon,644,637,660,701,711
50,Boyle Paints,Roscommon,763,798,758,709,701
51,Whelan Surf School,Sligo,872,854,858,813,845
52,Buckley Consultants,Sligo,288,261,245,249,235
53,Burton Design,Sligo,507,468,453,486,515
54,Ballymote Landscaping,Sligo,514,564,538,491,534
55,Flynn Orthopedics,Sligo,69,117,162,123,121
56,Easky Childcare,Sligo,532,573,610,629,659
57,Maguire Poultry,Sligo,394,365,399,422,401
58,Collins General Store,Sligo,826,859,819,816,860
59,Tobercurry Dressmaking,Sligo,695,730,684,713,702
60,Enniscrone Mining,Sligo,294,272,226,217,265
